t,j1_pos,j2_pos,l1_angpos,l2_angpos,tor1
0,0,0,0,0,-2.82105830272483
0.01,-0.023320182638798,-0.00263908568841539,0,0,-0.791462502512704
0.02,-0.05671371182364,-0.00573299425654806,0.0233201826386407,0.0206810969502431,-1.06043247965131
0.03,-0.101866253790921,-0.00868825853513289,0.056713711823257,0.0509807175667477,-2.99192791951645
0.04,-0.171292602678179,-0.011625787700268,0.101866253790231,0.0931779952551576,-2.46220378783488
0.05,-0.261289724526637,-0.0110115551132864,0.171292602677012,0.159666814976824,2.01231275710943
0.06,-0.341918842860394,-6.53281002515257E-05,0.261289724524833,0.250278169411626,-2.47449673597579
0.07,-0.441590942997671,0.0171919364754983,0.341918842857992,0.341853514757742,-2.37892339759936
0.08,-0.558263494616752,0.0448782809982356,0.441590942994482,0.458782879469837,0.0660668522873715
0.09,-0.67411782032243,0.0900788402014052,0.558263494612539,0.603141775610341,1.78504129372218
0.1,-0.77583812245595,0.156657169561623,0.67411782031704,0.76419666051737,-0.980060530120769
0.11,-0.877673617293413,0.239723233000366,0.775838122449331,0.932495292008479,0.912233331956417
0.12,-0.965368464360241,0.345751429649998,0.877673617285291,1.11739685027993,0.310061911453799
0.13,-1.03956214575831,0.474010713577644,0.965368464350494,1.31111989398485,1.96705081419358
0.14,-1.08888798536997,0.631936710961095,1.03956214574683,1.51357285921819,1.36109578687027
0.15,-1.11484924672038,0.819444170787066,1.08888798535708,1.42076795721409,-2.29972689963136
0.16,-1.1346097808522,1.02070034618926,1.11484924670662,1.20729923606462,1.2988730505095
0.17,-1.1277934709793,1.26405170753915,1.13460978083773,0.986282526538136,0.402805050954885
0.18,-1.09631728495221,1.55270249541626,1.12779347096508,0.749747475065064,-2.37322570477823
0.19,-1.05610281244768,1.86236798502425,1.09631728493908,0.4925728732177,2.34879998337731
0.2,-0.975038051248074,2.26358942853302,1.05610281243575,0.223121856116336,2.17349407297761
0.21,-0.868395987071185,2.72375060853977,0.975038051238123,-0.0970348261906415,-1.31764499490053
0.22,-0.806985592819276,3.07542486710556,0.868395987063215,-0.450553942017896,-1.67496057301485
0.23,-0.787425764464427,3.33775367590215,0.806985592812232,-0.740817806328872,2.49534710281964
0.24,-0.775410387314279,3.58160560978754,0.787425764457653,-0.983586786766644,0.817100822748111
0.25,-0.779204107622819,3.79726991164092,0.775410387307666,-1.21542334349384,2.9803241533416
0.26,-0.785411172721017,4.00384619759991,0.779204107616156,-1.43488136562462,-2.63512668573577
0.27,-0.821356188310871,4.17894355611659,0.78541117271427,-1.49392793677107,-1.96430782349121
0.28,-0.882863136594562,4.33049207236356,0.821356188303621,-1.28288556272935,-0.738267052499924
0.29,-0.962556369748097,4.46407509326517,0.882863136586354,-1.06983009820915,2.04482776392983
0.3,-1.0423953316863,4.58577406068362,0.962556369738408,-0.856553844158534,0.73193997485587
