Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"2,22778080438587E-18","0,208072838733749","0,00019484438290193",0,0,0,"7,64258581963359","0,196242928888261","-7,01395317802837E-19","-4,26515781331322E-21","0,00427744682275082","-0,000404930792397016","0,196191513654848",0,0,0,0,0,0,package://DoublePendulum/meshes/base_link.STL,"0,647058823529412","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://DoublePendulum/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
A1,"0,0737949007115278","-0,067485647577658","-0,0075",0,0,0,"0,350094024383882","0,000682901165952696","0,000687363022978262","9,66199963952858E-21","0,000805930512334875","-6,49515796525027E-21","0,00147570315237318",0,0,0,0,0,0,package://DoublePendulum/meshes/A1.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://DoublePendulum/meshes/A1.STL,,Arm-1,SCP1,E1,A1,continuous,0,"-0,04","0,48","1,5708",0,0,base_link,0,0,1,,,,,,,,,,,,
A2,"2,4980018054066E-16","0,0999999999999995","0,0075",0,0,0,"0,350094024383882","0,00143452596106319","-1,49481697663122E-20","7,63741374107627E-22","5,43057172243773E-05","-3,859728135749E-21","0,00147570315237318",0,0,0,0,0,0,package://DoublePendulum/meshes/A2.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://DoublePendulum/meshes/A2.STL,,Arm-2,SCP2,E2,A2,continuous,"0,14759","-0,13497",0,0,0,0,A1,0,0,-1,,,,,,,,,,,,
