Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"4,18417382268018E-18","0,163442278735188","0,056349184966193",0,0,0,"16,5734400005168","0,599382842220564","3,31258999878971E-19","-9,5745694021733E-19","0,314369255307197","0,0543747383319666","0,69835214185245",0,0,0,0,0,0,package://Leg_assy/meshes/base_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Leg_assy/meshes/base_link.STL,,L2006_24-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,"2,36400915256451E-06","0,0399905182025553","0,0431593419729566",0,0,0,"1,01682415477747","0,000888667138585407","5,96051078342825E-08","2,85100543877057E-09","0,00102361992372075","-1,14275040492286E-08","0,00107797593182006",0,0,0,0,0,0,package://Leg_assy/meshes/L1.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://Leg_assy/meshes/L1.STL,,L2007_24-1;L2005_24-1,Origin_J1,Eje1,J1,prismatic,0,"-0,061213","0,21128","1,5708",0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
L2,"0,0577555492395793","0,0248483960703704","-2,77555756156289E-17",0,0,0,"0,358735867858246","0,000142844334105728","7,36856791102412E-07","-9,82546248751865E-20","0,000894202221209064","2,65909935103524E-20","0,000915364185998044",0,0,0,0,0,0,package://Leg_assy/meshes/L2.STL,1,1,1,1,0,0,0,0,0,0,package://Leg_assy/meshes/L2.STL,,L2001_24-1,Origin_J2,Eje2,J2,continuous,0,"0,04","0,09","1,5708",0,"-0,23244",L1,0,1,0,,,,,,,,,,,,
L3,"-0,081820360738164","0,0187783528182829","1,85004105923703E-08",0,0,0,"0,163006715229028","1,75272334572335E-05","3,15450583016002E-06","1,86218179383575E-10","0,000219079773110987","-4,68217074040256E-11","0,000215227112014871",0,0,0,0,0,0,package://Leg_assy/meshes/L3.STL,1,1,1,1,0,0,0,0,0,0,package://Leg_assy/meshes/L3.STL,,L2002_24-1;L2003_24-1;L2004_24-1,Origin_J3,Eje3,J3,continuous,"0,15","0,0125",0,"3,1416","1,2453","-3,1416",L2,0,-1,0,,,,,,,,,,,,
